ESTADO,CH06,PONDIIO,PP04D_COD,NIVEL_ED,ANO4,PP04B_COD,TRIMESTRE,AGLOMERADO,CH04,Actividad,Periodo
1,24,251,30113.0,3,2016,4807,2,7,2,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,64,276,5002.0,2,2016,4000,2,7,1,Construcción,2016-T2
1,62,249,80323.0,2,2016,4808,2,7,2,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,29,249,40311.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,30,260,41333.0,5,2016,8501,2,7,1,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,58,232,30131.0,6,2016,4807,2,7,1,"Comercio de mercaderías n.c.p., incluso mercaderías usadas",2016-T2
1,45,215,56314.0,2,2016,8401,2,7,2,Servicios de la administración pública y prestación pública de servicios a la comunidad,2016-T2
1,31,245,72113.0,2,2016,4000,2,7,1,Construcción,2016-T2
1,62,327,72313.0,2,2016,4000,2,7,1,Construcción,2016-T2
1,31,334,32314.0,5,2016,4808,2,7,2,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,61,227,57314.0,2,2016,9700,2,7,2,Actividades de los hogares como empleadores de personal doméstico,2016-T2
1,61,241,30113.0,1,2016,4808,2,7,2,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,51,226,41312.0,6,2016,8501,2,7,2,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
1,32,240,30113.0,4,2016,4808,2,7,1,Tiendas no especializadas con predominancia de alimento y bebidas,2016-T2
1,28,259,58113.0,4,2016,8102,2,7,1,Servicios de paisajismo y jardinería,2016-T2
1,46,265,5001.0,6,2016,6900,2,7,2,Actividades jurídicas y de contabilidad,2016-T2
1,55,245,41312.0,6,2016,8501,2,7,1,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado",2016-T2
