PP04B_COD,Actividad
0001,"Agricultura, ganadería, caza y actividades de apoyo"
0101,Cultivos agrícolas
0102,Cría de animales
0103,Cultivo de productos agrícolas en combinación con la cría de animales
0104,"Servicios agrícolas y pecuarios, excepto los veterinarios"
0105,Caza y servicios de apoyo
0002,"Silvicultura, extracción de madera y actividades de apoyo"
0200,"Silvicultura, extracción de madera y actividades de apoyo"
0003,"Pesca, acuicultura y actividades de apoyo"
0300,"Pesca, acuicultura y actividades de apoyo"
0005,Extracción de carbón y lignito
0500,Extracción de carbón y lignito
0006,Extracción de petróleo crudo y gas natural
0600,Extracción de petróleo crudo y gas natural
0007,Extracción de minerales metalíferos
0700,Extracción de minerales metalíferos
0008,Explotación de otras minas y canteras
0800,Explotación de otras minas y canteras
0009,Actividades de apoyo a la explotación de minas y canteras
0900,Actividades de apoyo a la explotación de minas y canteras
0010,Elaboración de productos alimenticios
1001,Producción y procesamiento de carne y pescado
1002,"Preparación de frutas, hortalizas y legumbres; aceites y grasas"
1003,Elaboración de productos lácteos
1009,Elaboración de productos alimenticios n.c.p.
0011,Elaboración de bebidas
1100,Elaboración de bebidas
0012,Elaboración de productos de tabaco
1200,Elaboración de productos de tabaco
0013,"Fabricación de productos textiles, excepto prendas de vestir"
1300,"Fabricación de productos textiles, excepto prendas de vestir"
0014,"Confección de prendas de vestir, terminación y teñido de pieles"
1400,"Confección de prendas de vestir, terminación y teñido de pieles"
0015,Fabricación de cueros y productos conexos
1501,"Curtido y terminación de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y"
1502,Fabricación de calzado y sus partes
0016,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artícu-"
1600,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación"
0017,Fabricación de papel y productos de papel
1700,Fabricación de papel y productos de papel
0018,Actividades de impresión y servicios de apoyo; reproducción de grabaciones
1800,Actividades de impresión y servicios de apoyo; reproducción de grabaciones
0019,Fabricación de coque y de productos de la refinación del petróleo
1901,Fabricación de productos de hornos de coque
1902,Fabricación de productos de la refinación del petróleo
0020,Fabricación de sustancias y productos químicos
2001,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas"
2002,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador"
2009,Fabricación de otros productos químicos n.c.p.
0021,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
2100,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos"
0022,Fabricación de productos de caucho y plástico
2201,Fabricación de productos de caucho
2202,Fabricación de productos de plástico
0023,Fabricación de productos de minerales no metálicos
2301,Fabricación vidrio y productos de vidrio
2309,Fabricación de productos de minerales no metálicos n.c.p
0024,Fabricación de metales
2400,Fabricación de metales
0025,"Fabricación de productos elaborados de metal y servicios de trabajos de metales, excepto máquinas y equipos"
2500,"Fabricación de productos elaborados de metal y servicios de trabajos de metales, excepto máquinas y"
0026,"Fabricación de equipos informáticos, electrónicos y ópticos"
2601,Fabricación de componentes electrónicos
2602,Fabricación de equipos informáticos y periféricos
2603,"Fabricación de equipos y aparatos de radio, televisión y comunicaciones"
2604,"Fabricación de equipos electromédicos, ópticos y de precisión; fabricación de relojes; soportes magné-"
0027,Fabricación de maquinaria y equipos eléctricos
2701,"Fabricación de aparatos de uso doméstico, excepto equipos de audio y video"
2709,Fabricación de otras maquinarias y equipos eléctricos n.c.p.
0028,Fabricación de maquinarias y equipos n.c.p.
2800,Fabricación de maquinarias y equipos n.c.p.
0029,"Fabricación de vehículos automotores, remolques y semirremolques"
2900,"Fabricación de vehículos automotores, remolques y semirremolques"
0030,Fabricación de otros equipos de transporte n.c.p.
3001,Construcción de buques y otras embarcaciones
3002,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías
3003,Fabricación de aeronaves
3009,Fabricación de otros equipos de transporte n.c.p.
0031,Fabricación de muebles y colchones
3100,Fabricación de muebles y colchones
0032,Industrias manufactureras n.c.p.
3200,Industrias manufactureras n.c.p.
0033,"Mantenimiento, reparación e instalación de máquinas y equipos"
3300,"Mantenimiento, reparación e instalación de máquinas y equipos"
0035,"Electricidad, gas, vapor y aire acondicionado"
3501,"Generación, transmisión y distribución de energía eléctrica"
3502,Fabricación de gas; distribución de combustibles gaseosos por tuberías; suministro de vapor y aire
0036,"Captación, tratamiento y suministro de agua"
3600,"Captación, tratamiento y suministro de agua"
0037,Alcantarillado
3700,Alcantarillado
0038,"Recolección, tratamiento y eliminación de desechos; recuperación de materiales"
3800,"Recolección, tratamiento y eliminación de desechos; recuperación de materiales"
0039,Actividades de saneamiento y otros servicios de gestión de desechos
3900,Actividades de saneamiento y otros servicios de gestión de desechos
0040,Construcción
4000,Construcción
0045,Comercio y reparación de vehículos automotores y motocicletas
4501,"Venta de vehículos automotores, excepto motocicletas"
4502,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas"
4503,"Venta de partes, piezas y accesorios de vehículos automotores, excepto motocicletas"
4504,"Venta, mantenimiento y reparación de motocicletas y de sus piezas y accesorios"
0048,"Comercio, excepto de vehículos automotores y motocicletas"
4801,Comercio de intermediación
4802,Comercio de materias primas agropecuarias
4803,"Comercio de alimentos, bebidas y tabaco"
4804,"Comercio de textiles y avíos, mercería, prendas de vestir, calzado, marroquinería y artículos similares"
4805,"Comercio de materiales de construcción, artículos de ferretería, plomería, pinturería, espejos y artículos"
4806,Comercio de combustible para vehículos
4807,"Comercio de mercaderías n.c.p., incluso mercaderías usadas"
4808,Tiendas no especializadas con predominancia de alimento y bebidas
4809,Tiendas no especializadas sin predominancia de alimentos y bebidas
4810,Venta al por menor en puestos móviles y no realizadas en tiendas n.c.p.
4811,"Venta al por menor por correo, televisión, internet y otros medios de comunicación"
0049,Transporte terrestre y por tuberías
4901,Transporte ferroviario
4902,Transporte por metro
4903,Transporte automotor de pasajeros
4904,Transporte automotor de cargas
4905,Transporte por tuberías
4909,Transporte terrestre n.c.p.
0050,Transporte por vía acuática
5000,Transporte por vía acuática
0051,Transporte aéreo
5100,Transporte aéreo
0052,Almacenamiento y actividades auxiliares al transporte
5201,Depósito y almacenamiento
5202,Servicios auxiliares al transporte
0053,Correo y servicios de mensajería
5300,Correo y servicios de mensajería
0055,"Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal"
5500,"Servicios de alojamiento en hoteles, campamentos y otros tipos de hospedaje temporal"
0056,Servicios de comidas y bebida
5601,"Servicios de expendio de comidas y bebidas, excepto por vendedores ambulantes"
5602,Servicios de expendio de comidas y bebidas por vendedores ambulantes
0058,"Edición de libros, periódicos y otras publicaciones, incluso integrada a la impresión"
5800,"Edición de libros, periódicos y otras publicaciones, incluso integrada a la impresión"
0059,Actividades cinematográficas; producción de videos y programas de televisión; grabación sonora y edición de
5900,Actividades cinematográficas; producción de videos y programas de televisión; grabación sonora y edi-
0060,Actividades de programación y difusión de radio y televisión
6000,Actividades de programación y difusión de radio y televisión
0061,Telecomunicaciones
6100,Telecomunicaciones
0062,Actividades de programación y consultoría informáticas y otras actividades conexas
6200,Actividades de programación y consultoría informáticas y otras actividades conexas
0063,Actividades de servicios de información
6300,Actividades de servicios de información
0064,"Intermediación financiera y otros servicios financieros, excepto los de seguros y administración de fondos de"
6400,"Intermediación financiera y otros servicios financieros, excepto los de seguros y administración de fon-"
0065,"Seguros, reaseguros y fondos de pensiones, excepto los planes de seguridad social de afiliación obligatoria"
6500,"Seguros, reaseguros y fondos de pensiones, excepto los planes de seguridad social de afiliación obligatoria"
0066,Actividades auxiliares a los servicios financieros y a los seguros
6600,Actividades auxiliares a los servicios financieros y a los seguros
0068,Actividades inmobiliarias
6800,Actividades inmobiliarias
0069,Actividades jurídicas y de contabilidad
6900,Actividades jurídicas y de contabilidad
0070,Actividades de servicios de consultoría en gestión empresarial
7000,Actividades de servicios de consultoría de gestión empresarial
0071,Servicios de arquitectura e ingeniería; ensayos y análisis técnicos
7100,Servicios de arquitectura e ingeniería; ensayos y análisis técnicos
0072,Investigación y desarrollo
7200,Investigación y desarrollo
0073,Publicidad e investigación de mercados
7301,Actividades publicitarias
7302,Investigación de mercados y encuestas de opinión pública
0074,"Otras actividades profesionales, científicas y técnicas"
7400,"Otras actividades profesionales, científicas y técnicas"
0075,Actividades veterinarias
7500,Actividades veterinarias
0077,"Actividades de alquiler y arrendamiento, excepto inmuebles, y gestión de los activos intangibles no financieros"
7701,Alquiler de efectos personales y domésticos
7702,Actividades de vehículos de transporte; de maquinaria y equipo sin operador y gestión de activos intan-
0078,Actividades relacionadas con el suministro de empleo
7800,Actividades relacionadas con el suministro de empleo
0079,"Agencias de viajes, operadores turísticos y actividades conexas"
7900,"Agencias de viajes, operadores turísticos y actividades conexas"
0080,Actividades de investigación y seguridad
8000,Actividades de investigación y seguridad
0081,Servicios de apoyo a edificios y actividades de limpieza en general; servicios de paisajismo y jardinería
8101,Servicios de apoyo a edificios y actividades de limpieza en general
8102,Servicios de paisajismo y jardinería
0082,Actividades administrativas de oficinas y otras actividades auxiliares de las empresas
8200,Actividades administrativas de oficinas y otras actividades auxiliares de las empresas
0084,Administración pública y defensa; planes de seguro social obligatorio
8401,Servicios de la administración pública y prestación pública de servicios a la comunidad
8402,Servicios de la seguridad social obligatoria
0085,Enseñanza
8501,"Enseñanza inicial y primaria, secundaria, terciaria, universitaria y de posgrado"
8509,Otros tipos de enseñanza n.c.p.
0086,Actividades de atención a la salud humana
8600,Actividades de atención a la salud humana
0087,Asistencia social relacionada con la atención a la salud
8700,Asistencia social relacionada con la atención a la salud
0088,Servicios sociales sin alojamiento
8800,Servicios sociales sin alojamiento
0090,Actividades artísticas y de espectáculos
9000,Actividades artísticas y de espectáculos
0091,"Actividades de bibliotecas, archivos, museos y otras actividades culturales"
9100,"Actividades de bibliotecas, archivos, museos y otras actividades culturales"
0092,Actividades de juegos de azar y apuestas
9200,Actividades de juego de azar y apuestas
0093,Actividades deportivas y de entretenimiento
9301,Actividades para la práctica deportiva
9302,Actividades de entretenimiento n.c.p
0094,Actividades de asociaciones
9401,"Actividades de organizaciones empresariales, profesionales y de empleadores"
9402,Actividades de sindicatos
9409,Actividad de asociaciones n.c.p.
0095,Reparación de equipos informáticos y de comunicación; efectos de uso personal y doméstico
9501,Reparación de equipos informáticos
9502,Reparación de equipos de comunicación
9503,Reparación de efectos de uso personal y doméstico
0096,Otras actividades de servicios personales
9601,"Lavado y limpieza de artículos de tela, cuero y o de piel, incluso limpieza en seco"
9602,Servicios de peluquería y tratamientos de belleza
9603,Pompas fúnebres y servicios conexos
9609,Servicios personales n.c.p.
0097,Actividades de los hogares como empleadores de personal doméstico
9700,Actividades de los hogares como empleadores de personal doméstico
0098,Actividades de los hogares como productores de bienes o servicios para uso propio
9800,Actividades de los hogares como productores de bienes para uso propio
0099,Actividades de organizaciones y organismos extraterritoriales
9900,Actividades de organizaciones y organismos extraterritoriales
